"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET health check to confirm whether the API is up and running","366","Health check","","2026-07-09","passed","2026-07-09","","Health check","features.GetHealthCheck","getHealthCheck"
"Different calls validations to change the status of a booking form created to deleted","3967","Workflow","","2026-07-09","passed","2026-07-09","","Workflow validation","features.WorkFlowTest","workflow"
"DELETE call to erase a booking in the database","2626","Delete booking","","2026-07-09","passed","2026-07-09","","Delete booking","features.DeleteBooking","deleteBooking"
"Status code validation for 404","376","Status code validation - 404","","2026-07-09","passed","2026-07-09","","Status code validation","features.StatusCodeValidationTest","statusCode404Validation"
"Status code validation for 200","520","Status code validation - 200","","2026-07-09","passed","2026-07-09","","Status code validation","features.StatusCodeValidationTest","statusCode200Validation"
"Status code validation for 403","379","Status code validation - 403","","2026-07-09","passed","2026-07-09","","Status code validation","features.StatusCodeValidationTest","statusCode403Validation"
"Status code validation for 201","385","Status code validation - 201","","2026-07-09","passed","2026-07-09","","Status code validation","features.StatusCodeValidationTest","statusCode201Validation"
"Status code validation for 400","387","Status code validation - 400","","2026-07-09","passed","2026-07-09","","Status code validation","features.StatusCodeValidationTest","statusCode400Validation"
"PATCH call to partially update a booking in the database","941","Patch partial update booking","","2026-07-09","passed","2026-07-09","","Patch partial update booking","features.PatchPartialUpdateBooking","patchPartialUpdateBooking"
"Status code validation for 500","361","Status code validation - 500","","2026-07-09","passed","2026-07-09","","Status code validation","features.StatusCodeValidationTest","statusCode500Validation"
"GET call to retrieve all bookings id list","626","Get all booking id list","","2026-07-09","passed","2026-07-09","","Get booking id list","features.GetBookingIdListTest","getAllBookingIdList"
"Status code validation for 405","357","Status code validation - 405","","2026-07-09","passed","2026-07-09","","Status code validation","features.StatusCodeValidationTest","statusCode405Validation"
"POST call to create a new booking in the database","981","Post create booking","","2026-07-09","passed","2026-07-09","","Post create booking","features.PostCreateBookingTest","postCreateBooking"
"PUT call to update a booking in the database","935","Put update booking","","2026-07-09","passed","2026-07-09","","Put update booking","features.PutUpdateBooking","putUpdateBooking"
"GET call to retrieve a booking by id","481","Get booking by id","","2026-07-09","passed","2026-07-09","","Get booking by id","features.GetBookingByIdTest","getBookingById"
