"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 09:16:33 GMT 2024","Mon Nov 25 09:16:35 GMT 2024","2515","","Delete booking","","features.DeleteBooking","deleteBooking","Delete booking","DELETE call to erase a booking in the database"
"passed","Mon Nov 25 09:16:44 GMT 2024","Mon Nov 25 09:16:45 GMT 2024","450","","Status code validation","","features.StatusCodeValidationTest","statusCode200Validation","Status code validation - 200","Status code validation for 200"
"passed","Mon Nov 25 09:16:44 GMT 2024","Mon Nov 25 09:16:44 GMT 2024","359","","Status code validation","","features.StatusCodeValidationTest","statusCode400Validation","Status code validation - 400","Status code validation for 400"
"passed","Mon Nov 25 09:16:37 GMT 2024","Mon Nov 25 09:16:38 GMT 2024","381","","Health check","","features.GetHealthCheck","getHealthCheck","Health check","GET health check to confirm whether the API is up and running"
"passed","Mon Nov 25 09:16:37 GMT 2024","Mon Nov 25 09:16:37 GMT 2024","587","","Get booking id list","","features.GetBookingIdListTest","getAllBookingIdList","Get all booking id list","GET call to retrieve all bookings id list"
"passed","Mon Nov 25 09:16:46 GMT 2024","Mon Nov 25 09:16:50 GMT 2024","3792","","Workflow validation","","features.WorkFlowTest","workflow","Workflow","Different calls validations to change the status of a booking form created to deleted"
"passed","Mon Nov 25 09:16:43 GMT 2024","Mon Nov 25 09:16:44 GMT 2024","385","","Status code validation","","features.StatusCodeValidationTest","statusCode405Validation","Status code validation - 405","Status code validation for 405"
"passed","Mon Nov 25 09:16:46 GMT 2024","Mon Nov 25 09:16:46 GMT 2024","378","","Status code validation","","features.StatusCodeValidationTest","statusCode403Validation","Status code validation - 403","Status code validation for 403"
"passed","Mon Nov 25 09:16:41 GMT 2024","Mon Nov 25 09:16:42 GMT 2024","947","","Put update booking","","features.PutUpdateBooking","putUpdateBooking","Put update booking","PUT call to update a booking in the database"
"passed","Mon Nov 25 09:16:38 GMT 2024","Mon Nov 25 09:16:39 GMT 2024","911","","Patch partial update booking","","features.PatchPartialUpdateBooking","patchPartialUpdateBooking","Patch partial update booking","PATCH call to partially update a booking in the database"
"passed","Mon Nov 25 09:16:45 GMT 2024","Mon Nov 25 09:16:45 GMT 2024","382","","Status code validation","","features.StatusCodeValidationTest","statusCode404Validation","Status code validation - 404","Status code validation for 404"
"passed","Mon Nov 25 09:16:44 GMT 2024","Mon Nov 25 09:16:44 GMT 2024","389","","Status code validation","","features.StatusCodeValidationTest","statusCode500Validation","Status code validation - 500","Status code validation for 500"
"passed","Mon Nov 25 09:16:36 GMT 2024","Mon Nov 25 09:16:37 GMT 2024","485","","Get booking by id","","features.GetBookingByIdTest","getBookingById","Get booking by id","GET call to retrieve a booking by id"
"passed","Mon Nov 25 09:16:39 GMT 2024","Mon Nov 25 09:16:40 GMT 2024","973","","Post create booking","","features.PostCreateBookingTest","postCreateBooking","Post create booking","POST call to create a new booking in the database"
"passed","Mon Nov 25 09:16:45 GMT 2024","Mon Nov 25 09:16:46 GMT 2024","381","","Status code validation","","features.StatusCodeValidationTest","statusCode201Validation","Status code validation - 201","Status code validation for 201"
